"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.e1_kb_write",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.f1_moduleA",""
"passed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","1","","ANTI-REGRESSION","","ANTI-REGRESSION","","BCHAIN.02",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.01_lang_inc",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.c1_grounded_basic",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.a1_symbols",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.b1_equal_chain",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","module-system.f1_moduleA",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.system_proofTestCurried",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.flip_test",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.d2_higherfunc",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.tmpMatch2",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.03-soring-via-insert",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:26 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.a3_twoside",""
"passed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","1","","ANTI-REGRESSION","","ANTI-REGRESSION","","TMPMATCH2.04",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:26 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.bchain_comp",""
"failed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","31","","ANTI-REGRESSION","","ANTI-REGRESSION","","BC-COMP.03",""
"passed","Mon Oct 28 22:06:22 GMT 2024","Mon Oct 28 22:06:22 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","06-MATCH-IN-SPACE.02",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.e2_states",""
"passed","Mon Oct 28 22:06:22 GMT 2024","Mon Oct 28 22:06:22 GMT 2024","5","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","03-SORING-VIA-INSERT.01",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.functional_programming_tests",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:26 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.debug_mettalogTestCurried",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.d5_auto_types",""
"failed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","30","","ANTI-REGRESSION","","ANTI-REGRESSION","","BC-COMP.02",""
"passed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","4","","ANTI-REGRESSION","","ANTI-REGRESSION","","BCHAIN.01",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-wam-issue-116.test_spo_116378",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.test_if_closed",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.c2_spaces",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.02",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","8","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.05",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.mettalogTestCurried2",""
"passed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","2","","ANTI-REGRESSION","","ANTI-REGRESSION","","TMPMATCH1.01",""
"failed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","55","","ANTI-REGRESSION","","ANTI-REGRESSION","","BC-COMP.01",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.c3_pln_stv",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.bc_comp",""
"passed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","2","","ANTI-REGRESSION","","ANTI-REGRESSION","","TMPMATCH1.03",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.b3_direct",""
"passed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","2","","ANTI-REGRESSION","","ANTI-REGRESSION","","TMPMATCH1.04",""
"passed","Mon Oct 28 22:06:22 GMT 2024","Mon Oct 28 22:06:22 GMT 2024","3","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","FIND-ALL-TESTS.01",""
"passed","Mon Oct 28 21:44:41 GMT 2024","Mon Oct 28 21:44:41 GMT 2024","1","","METTA-WAM-ISSUE-145","","METTA-WAM-ISSUE-145","","PRINT-GRAPH.02",""
"passed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","2","","ANTI-REGRESSION","","ANTI-REGRESSION","","TMPMATCH2.02",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.first_answer_long",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","5","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D2-HIGHERFUNC.01",""
"passed","Mon Oct 28 22:06:22 GMT 2024","Mon Oct 28 22:06:22 GMT 2024","3","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","06-MATCH-IN-SPACE.01",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.d4_type_prop",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","91","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B4-NONDETERM.01",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.b4_nondeterm",""
"failed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","59","","ANTI-REGRESSION","","ANTI-REGRESSION","","BCHAIN-COMP.01",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.g1_docs",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","8","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.09",""
"passed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","1","","ANTI-REGRESSION","","ANTI-REGRESSION","","TMPMATCH1.02",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","4","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.01",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.a2_opencoggy",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.e3_match_states",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.mettalogTestCurried",""
"failed","Mon Oct 28 21:38:27 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","46","","ANTI-REGRESSION","","ANTI-REGRESSION","","BCHAIN-COMP.03",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.b0_chaining_prelim",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.00_lang_case",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","3","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D2-HIGHERFUNC.02",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:26 GMT 2024","41000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.comma_is_not_special",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.06_match_in_space",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.b5_types_prelim",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.02-curried-plus",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.call_cleanup_tests",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.call_tests",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.03",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-wam-issue-116.test_spo_1000",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-wam-issue-145.print_graph",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.first_answer",""
"passed","Mon Oct 28 21:54:28 GMT 2024","Mon Oct 28 21:54:28 GMT 2024","1","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D1-GADT.08",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.catch_throw_tests",""
"failed","Mon Oct 28 21:37:45 GMT 2024","Mon Oct 28 21:38:27 GMT 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.d3_deptypes",""
"passed","Mon Oct 28 21:44:41 GMT 2024","Mon Oct 28 21:44:41 GMT 2024","1","","METTA-WAM-ISSUE-145","","METTA-WAM-ISSUE-145","","PRINT-GRAPH.03",""
